,Actual,Predicted,Difference,ABS Diff
2486,245.296,247.0167188,-1.72,1.72
2487,246.083,247.1570865,-1.07,1.07
2493,248.009,246.2504679,1.76,1.76
2500,247.206,245.5786235,1.63,1.63
2501,246.696,245.3304339,1.37,1.37
2512,244.146,244.730574,-0.58,0.58
2517,245.015,245.2574065,-0.24,0.24
2522,245.254,245.2151711,0.04,0.04
2536,245.258,247.1870178,-1.93,1.93
2538,248.413,247.3187302,1.09,1.09
2539,248.899,247.1850046,1.71,1.71
2545,248.32,247.4227402,0.90,0.90
2548,247.915,246.6624372,1.25,1.25
2555,245.886,244.1531088,1.73,1.73
2568,243.77,245.6948023,-1.92,1.92
2572,247.34,245.509178,1.83,1.83
2577,245.147,244.4369279,0.71,0.71
2581,247.301,246.8020725,0.50,0.50
2584,247.721,247.0090054,0.71,0.71
2596,248.628,246.3136634,2.31,2.31
2598,246.998,245.7424575,1.26,1.26
2605,246.069,245.366469,0.70,0.70
2610,246.987,245.4450219,1.54,1.54
